Number of medals ,GDP
4,482.4
3,57.71
77,20940
11,155.6
3,37.37
1,45.23
6,720.1
2,39.24
1,501.8
1,40.41
12,748
7,537.6
10,1281
3,301.9
4,52.88
3,104.6
6,52.96
2,1.616
4,248.7
53,1483
19,1631
2,146.4
1,103.1
3,231.3
10,594.2
2,361.5
70,14720
5,362
1,12.27
2,432.3
15,212.5
23,912.2
1,10.7
1,112.9
3,13.14
3,1076
1,336.7
2,33.51
3,7.736
1,136.2
2,7.8
5,98.84
4,169.8
1,43.7
40,5065
5,13.81
30,1886
3,402
4,191.7
3,418.6
5,1058
3,2623
12,155
3,346.6
3,189.4
48,2708
1,72.35
32,3806
7,15.89
25,2603
1,271.2
2,4.376
3,107.6
2,31.03
3,363.1
3,98.81
3,78.84
7,355.2
8,243.5
12,103.1
8,55.97
1,61.35
3,271.3
11,759.104
14,1643
2,69.11
15,1445
1,7.484
3,515.3
2,60.26
3,42.61
5,429
36,1331
3,12.65
1,383.1
